station_id,station_name,latitude,longitude,city,state,country,operator,network,status,access_type,total_charging_points,avg_power_kw,max_power_kw,total_sessions,total_energy_kwh,avg_session_duration_minutes,avg_session_cost,weather_records_count,traffic_records_count,anomaly_count,last_session_date,created_at,updated_at
460504,Marketplace Foods,48.21768268,-101.2976794,Minot,ND,United States,Tesla (including non-tesla),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451244,2025-10-21T02:16:01.451244
460505,Mass General Brigham Healthcare Center,43.21401746,-70.90285659,Dover,NH,United States,(Unknown Operator),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451241,2025-10-21T02:16:01.451241
460506,Wentworth-Douglass Hospital,43.21433139,-70.87372468,Dover,NH,United States,(Unknown Operator),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451238,2025-10-21T02:16:01.451238
460570,Eastern Market Public Lot,42.34910874,-83.04295829,Detroit,MI,United States,Red E Charge,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451235,2025-10-21T02:16:01.451235
460571,Exxon Utica,42.62658474,-83.01745639,Utica,MI,United States,Red E Charge,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451231,2025-10-21T02:16:01.451232
460606,Destination Charger,48.36543391,-114.14529999,Columbia Falls,Montana,United States,EDP,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451228,2025-10-21T02:16:01.451229
460632,Parsons Chevy - Eagle River,45.90313038,-89.29469754,Eagle River,WI,United States,InCharge (US),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451225,2025-10-21T02:16:01.451225
460671,FPL,30.51073053,-87.18375093,Pensacola,Florida,United States,(Unknown Operator),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451221,2025-10-21T02:16:01.451222
460673,Telsa Supercharger,42.4312555,-123.16273323,Rogue River,Oregon,United States,Tesla (including non-tesla),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451218,2025-10-21T02:16:01.451218
460708,Chargepoint,36.7520475,-86.1794829,Scottsville,Kentucky,United States,(Unknown Operator),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451215,2025-10-21T02:16:01.451215
460949,"Flying J Travel Center #737 San Antonio, TX",29.44599025,-98.36098899,San Antonio,TX,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451211,2025-10-21T02:16:01.451212
460953,"Flying J Travel Center #690 Lordsburg, NM",32.34177939,-108.67760606,Lordsburg,NM,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451208,2025-10-21T02:16:01.451208
460954,"Flying J Travel Center #671 Matthews, MO",36.7602601,-89.54037352,Matthews,MO,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451205,2025-10-21T02:16:01.451205
460955,"Flying J Travel Center #572 Williams, IA",42.47054168,-93.57198536,Williams,IA,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451202,2025-10-21T02:16:01.451202
460956,"Pilot Travel Center #368 Decatur, IL",39.90728707,-88.8961106,Decatur,IL,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451198,2025-10-21T02:16:01.451199
460957,"Flying J Travel Center #489 Grand Forks, ND",47.88805211,-97.09235312,Grand Forks,ND,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451195,2025-10-21T02:16:01.451196
460958,"Pilot Travel Center #1225 Mascoutah, IL",38.55573984,-89.80639259,Mascoutah,IL,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451192,2025-10-21T02:16:01.451192
460959,"Thorntons #327 - Bellwood, IL",41.8722861,-87.86239501,Bellwood,IL,United States,BP Pulse (US),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451189,2025-10-21T02:16:01.451189
460969,EVgo - SF SOMA,37.7769255,-122.40419731,San Francisco,CA,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451186,2025-10-21T02:16:01.451186
461048,Mitra EV DCFC - Ford Commercial,37.415328,-122.076575,Sacramento,CA,United States,(Unknown Operator),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451183,2025-10-21T02:16:01.451183
461049,Mitra EV DCFC - Aztec Solar,38.60760033,-121.26022187,Rancho Cordova,CA,United States,(Unknown Operator),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451179,2025-10-21T02:16:01.45118
461050,Mitra EV DCFC - Sierra Pacific,38.609349,-121.259377,Rancho Cordova,CA,United States,(Unknown Operator),,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451176,2025-10-21T02:16:01.451177
461073,Fairfield by Marriott Inn & Suites Houston Brookhollow,29.83692,-95.484585,Houston,TX,United States,Tesla (including non-tesla),,Operational,,0,,,0,,,,2,0,1,,2025-10-21T02:16:01.451173,2025-10-21T02:16:01.451174
461130,TownePlace Suites by Marriott Houston Northwest/Beltway 8,29.90245,-95.544401,Houston,TX,United States,Tesla (including non-tesla),,Operational,,0,,,0,,,,2,0,1,,2025-10-21T02:16:01.45117,2025-10-21T02:16:01.45117
461135,Marathon,43.00643564,-85.68835797,Grand Rapids,MI,United States,Red E Charge,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451167,2025-10-21T02:16:01.451167
